entity,iso3,year,population
Brazil,BRA,1970,95375651
Brazil,BRA,1971,97739273
Brazil,BRA,1972,100146797
Brazil,BRA,1973,102600976
Brazil,BRA,1974,105089675
Brazil,BRA,1975,107619565
Brazil,BRA,1976,110213349
Brazil,BRA,1977,112875292
Brazil,BRA,1978,115600942
Brazil,BRA,1979,118380821
Brazil,BRA,1980,121207461
Brazil,BRA,1981,124063109
Brazil,BRA,1982,126923155
Brazil,BRA,1983,129790077
Brazil,BRA,1984,132658864
Brazil,BRA,1985,135515595
Brazil,BRA,1986,138336370
Brazil,BRA,1987,141104944
Brazil,BRA,1988,143826357
Brazil,BRA,1989,146502972
Brazil,BRA,1990,149143223
Brazil,BRA,1991,151724256
Brazil,BRA,1992,154275079
Brazil,BRA,1993,156794577
Brazil,BRA,1994,159265006
Brazil,BRA,1995,161735073
Brazil,BRA,1996,164202549
Brazil,BRA,1997,166661659
Brazil,BRA,1998,169159655
Brazil,BRA,1999,171641543
Brazil,BRA,2000,174018282
Brazil,BRA,2001,176301203
Brazil,BRA,2002,178503484
Brazil,BRA,2003,180622688
Brazil,BRA,2004,182675143
Brazil,BRA,2005,184688101
Brazil,BRA,2006,186653106
Brazil,BRA,2007,188552320
Brazil,BRA,2008,190367302
Brazil,BRA,2009,192079951
Brazil,BRA,2010,193701929
Brazil,BRA,2011,195284734
Brazil,BRA,2012,196876111
Brazil,BRA,2013,198478299
Brazil,BRA,2014,200085127
Brazil,BRA,2015,201675532
Brazil,BRA,2016,203218114
Brazil,BRA,2017,204703445
Brazil,BRA,2018,206107261
Brazil,BRA,2019,207455459
Brazil,BRA,2020,208660842
Brazil,BRA,2021,209550294
Brazil,BRA,2022,210306415
Brazil,BRA,2023,211140729
Brazil,BRA,2024,211998573
Brazil,BRA,2025,212812405
Canada,CAN,1960,17909356
Canada,CAN,1961,18271000
Canada,CAN,1962,18614000
Canada,CAN,1963,18964000
Canada,CAN,1964,19325000
Canada,CAN,1965,19678000
Canada,CAN,1966,20048000
Canada,CAN,1967,20412000
Canada,CAN,1968,20744000
Canada,CAN,1969,21028000
Canada,CAN,1970,21324000
Canada,CAN,1971,21962032
Canada,CAN,1972,22218463
Canada,CAN,1973,22491777
Canada,CAN,1974,22807969
Canada,CAN,1975,23143275
Canada,CAN,1976,23449808
Canada,CAN,1977,23725843
Canada,CAN,1978,23963203
Canada,CAN,1979,24201544
Canada,CAN,1980,24515667
Canada,CAN,1981,24819915
Canada,CAN,1982,25116942
Canada,CAN,1983,25366451
Canada,CAN,1984,25607053
Canada,CAN,1985,25842116
Canada,CAN,1986,26100278
Canada,CAN,1987,26446601
Canada,CAN,1988,26791747
Canada,CAN,1989,27276781
Canada,CAN,1990,27691138
Canada,CAN,1991,28037420
Canada,CAN,1992,28371264
Canada,CAN,1993,28684764
Canada,CAN,1994,29000663
Canada,CAN,1995,29302311
Canada,CAN,1996,29610218
Canada,CAN,1997,29905948
Canada,CAN,1998,30155173
Canada,CAN,1999,30401286
Canada,CAN,2000,30685730
Canada,CAN,2001,31020855
Canada,CAN,2002,31359199
Canada,CAN,2003,31642461
Canada,CAN,2004,31938807
Canada,CAN,2005,32242732
Canada,CAN,2006,32571193
Canada,CAN,2007,32888886
Canada,CAN,2008,33247298
Canada,CAN,2009,33630069
Canada,CAN,2010,34005902
Canada,CAN,2011,34339221
Canada,CAN,2012,34713395
Canada,CAN,2013,35080992
Canada,CAN,2014,35434066
Canada,CAN,2015,35704498
Canada,CAN,2016,36110803
Canada,CAN,2017,36545075
Canada,CAN,2018,37072620
Canada,CAN,2019,37618495
Canada,CAN,2020,38028638
Canada,CAN,2021,38239864
Canada,CAN,2022,38950132
Canada,CAN,2023,40049088
Canada,CAN,2024,41262329
Canada,CAN,2025,41651653
China,CHN,1960,667070000
China,CHN,1961,660330000
China,CHN,1962,665770000
China,CHN,1963,682335000
China,CHN,1964,698355000
China,CHN,1965,715185000
China,CHN,1966,735400000
China,CHN,1967,754550000
China,CHN,1968,774510000
China,CHN,1969,796025000
China,CHN,1970,818315000
China,CHN,1971,841105000
China,CHN,1972,862030000
China,CHN,1973,881940000
China,CHN,1974,900350000
China,CHN,1975,916395000
China,CHN,1976,930685000
China,CHN,1977,943455000
China,CHN,1978,956165000
China,CHN,1979,969005000
China,CHN,1980,981235000
China,CHN,1981,993885000
China,CHN,1982,1008630000
China,CHN,1983,1023310000
China,CHN,1984,1036825000
China,CHN,1985,1051040000
China,CHN,1986,1066790000
China,CHN,1987,1084035000
China,CHN,1988,1101630000
China,CHN,1989,1118650000
China,CHN,1990,1135185000
China,CHN,1991,1150780000
China,CHN,1992,1164970000
China,CHN,1993,1178440000
China,CHN,1994,1191835000
China,CHN,1995,1204855000
China,CHN,1996,1217550000
China,CHN,1997,1230075000
China,CHN,1998,1241935000
China,CHN,1999,1252735000
China,CHN,2000,1262645000
China,CHN,2001,1271850000
China,CHN,2002,1280400000
China,CHN,2003,1288400000
China,CHN,2004,1296075000
China,CHN,2005,1303720000
China,CHN,2006,1311020000
China,CHN,2007,1317885000
China,CHN,2008,1324655000
China,CHN,2009,1331260000
China,CHN,2010,1337705000
China,CHN,2011,1345035000
China,CHN,2012,1354190000
China,CHN,2013,1363240000
China,CHN,2014,1371860000
China,CHN,2015,1379860000
China,CHN,2016,1387790000
China,CHN,2017,1396215000
China,CHN,2018,1402760000
China,CHN,2019,1407745000
China,CHN,2020,1411100000
China,CHN,2021,1412360000
China,CHN,2022,1412175000
China,CHN,2023,1410710000
China,CHN,2024,1408975000
China,CHN,2025,1406585000
Germany,DEU,1960,72814900
Germany,DEU,1961,73377632
Germany,DEU,1962,74025784
Germany,DEU,1963,74714353
Germany,DEU,1964,75318337
Germany,DEU,1965,75963695
Germany,DEU,1966,76600311
Germany,DEU,1967,76951336
Germany,DEU,1968,77294314
Germany,DEU,1969,77909682
Germany,DEU,1970,78169289
Germany,DEU,1971,78312842
Germany,DEU,1972,78688452
Germany,DEU,1973,78936666
Germany,DEU,1974,78967433
Germany,DEU,1975,78673554
Germany,DEU,1976,78336950
Germany,DEU,1977,78159814
Germany,DEU,1978,78091820
Germany,DEU,1979,78126350
Germany,DEU,1980,78288576
Germany,DEU,1981,78407907
Germany,DEU,1982,78333366
Germany,DEU,1983,78128282
Germany,DEU,1984,77858685
Germany,DEU,1985,77684873
Germany,DEU,1986,77720436
Germany,DEU,1987,77839920
Germany,DEU,1988,78144619
Germany,DEU,1989,78751283
Germany,DEU,1990,79433029
Germany,DEU,1991,80013896
Germany,DEU,1992,80624598
Germany,DEU,1993,81156363
Germany,DEU,1994,81438348
Germany,DEU,1995,81678051
Germany,DEU,1996,81914831
Germany,DEU,1997,82034771
Germany,DEU,1998,82047195
Germany,DEU,1999,82100243
Germany,DEU,2000,82211508
Germany,DEU,2001,82349925
Germany,DEU,2002,82488495
Germany,DEU,2003,82534176
Germany,DEU,2004,82516260
Germany,DEU,2005,82469422
Germany,DEU,2006,82376451
Germany,DEU,2007,82266372
Germany,DEU,2008,82110097
Germany,DEU,2009,81902307
Germany,DEU,2010,81776930
Germany,DEU,2011,80274983
Germany,DEU,2012,80425823
Germany,DEU,2013,80645605
Germany,DEU,2014,80982500
Germany,DEU,2015,81686611
Germany,DEU,2016,82348669
Germany,DEU,2017,82657002
Germany,DEU,2018,82905782
Germany,DEU,2019,83092962
Germany,DEU,2020,83160871
Germany,DEU,2021,83196078
Germany,DEU,2022,83177813
Germany,DEU,2023,83287273
Germany,DEU,2024,83516593
Germany,DEU,2025,83491249
European Union,EUU,1960,357710476
European Union,EUU,1961,360681613
European Union,EUU,1962,363707978
European Union,EUU,1963,366840786
European Union,EUU,1964,370055037
European Union,EUU,1965,373129199
European Union,EUU,1966,376058575
European Union,EUU,1967,378902917
European Union,EUU,1968,381579577
European Union,EUU,1969,384226226
European Union,EUU,1970,386406167
European Union,EUU,1971,388553371
European Union,EUU,1972,391197266
European Union,EUU,1973,393739994
European Union,EUU,1974,396124649
European Union,EUU,1975,398397694
European Union,EUU,1976,400490355
European Union,EUU,1977,402445831
European Union,EUU,1978,404312949
European Union,EUU,1979,406112162
European Union,EUU,1980,407986180
European Union,EUU,1981,409724709
European Union,EUU,1982,410988238
European Union,EUU,1983,412072128
European Union,EUU,1984,412998350
European Union,EUU,1985,413962998
European Union,EUU,1986,415087013
European Union,EUU,1987,416296769
European Union,EUU,1988,417653885
European Union,EUU,1989,419102379
European Union,EUU,1990,420525030
European Union,EUU,1991,421741276
European Union,EUU,1992,422968989
European Union,EUU,1993,424344744
European Union,EUU,1994,425404352
European Union,EUU,1995,426210050
European Union,EUU,1996,426905134
European Union,EUU,1997,427547651
European Union,EUU,1998,428120105
European Union,EUU,1999,428825949
European Union,EUU,2000,429339162
European Union,EUU,2001,429909307
European Union,EUU,2002,430924112
European Union,EUU,2003,432512916
European Union,EUU,2004,434193248
European Union,EUU,2005,435789139
European Union,EUU,2006,437263803
European Union,EUU,2007,438796003
European Union,EUU,2008,440270719
European Union,EUU,2009,441388573
European Union,EUU,2010,442088310
European Union,EUU,2011,441414078
European Union,EUU,2012,442069839
European Union,EUU,2013,442425741
European Union,EUU,2014,442920819
European Union,EUU,2015,443793218
European Union,EUU,2016,444676652
European Union,EUU,2017,445321060
European Union,EUU,2018,446058453
European Union,EUU,2019,446910453
European Union,EUU,2020,446870959
European Union,EUU,2021,446228281
European Union,EUU,2022,447203596
European Union,EUU,2023,448897545
European Union,EUU,2024,450228188
European Union,EUU,2025,451127411
France,FRA,1960,47412964
France,FRA,1961,47905982
France,FRA,1962,48389516
France,FRA,1963,48877567
France,FRA,1964,49401492
France,FRA,1965,49877725
France,FRA,1966,50311637
France,FRA,1967,50722791
France,FRA,1968,51112980
France,FRA,1969,51536014
France,FRA,1970,52007169
France,FRA,1971,52499553
France,FRA,1972,52962356
France,FRA,1973,53392161
France,FRA,1974,53746571
France,FRA,1975,54002853
France,FRA,1976,54232383
France,FRA,1977,54486467
France,FRA,1978,54734030
France,FRA,1979,54979851
France,FRA,1980,55274184
France,FRA,1981,55603353
France,FRA,1982,55806789
France,FRA,1983,56108330
France,FRA,1984,56383085
France,FRA,1985,56665619
France,FRA,1986,56956002
France,FRA,1987,57266167
France,FRA,1988,57598186
France,FRA,1989,57943062
France,FRA,1990,58261012
France,FRA,1991,58554242
France,FRA,1992,58846584
France,FRA,1993,59103094
France,FRA,1994,59324863
France,FRA,1995,59541294
France,FRA,1996,59754504
France,FRA,1997,59968066
France,FRA,1998,60190684
France,FRA,1999,60501986
France,FRA,2000,60918661
France,FRA,2001,61364377
France,FRA,2002,61812142
France,FRA,2003,62249855
France,FRA,2004,62707588
France,FRA,2005,63180854
France,FRA,2006,63622342
France,FRA,2007,64016890
France,FRA,2008,64375116
France,FRA,2009,64706436
France,FRA,2010,65026211
France,FRA,2011,65340830
France,FRA,2012,65657659
France,FRA,2013,65997932
France,FRA,2014,66312067
France,FRA,2015,66548272
France,FRA,2016,66724104
France,FRA,2017,66918020
France,FRA,2018,67158348
France,FRA,2019,67382061
France,FRA,2020,67601110
France,FRA,2021,67842811
France,FRA,2022,68184457
France,FRA,2023,68372286
France,FRA,2024,68551653
France,FRA,2025,68720337
United Kingdom,GBR,1960,52400000
United Kingdom,GBR,1961,52800000
United Kingdom,GBR,1962,53250000
United Kingdom,GBR,1963,53650000
United Kingdom,GBR,1964,54000000
United Kingdom,GBR,1965,54348050
United Kingdom,GBR,1966,54648500
United Kingdom,GBR,1967,54943600
United Kingdom,GBR,1968,55211700
United Kingdom,GBR,1969,55441750
United Kingdom,GBR,1970,55663250
United Kingdom,GBR,1971,55896223
United Kingdom,GBR,1972,56086065
United Kingdom,GBR,1973,56194527
United Kingdom,GBR,1974,56229974
United Kingdom,GBR,1975,56225800
United Kingdom,GBR,1976,56211968
United Kingdom,GBR,1977,56193492
United Kingdom,GBR,1978,56196504
United Kingdom,GBR,1979,56246951
United Kingdom,GBR,1980,56314216
United Kingdom,GBR,1981,56333829
United Kingdom,GBR,1982,56313641
United Kingdom,GBR,1983,56332848
United Kingdom,GBR,1984,56422072
United Kingdom,GBR,1985,56550268
United Kingdom,GBR,1986,56681396
United Kingdom,GBR,1987,56802050
United Kingdom,GBR,1988,56928327
United Kingdom,GBR,1989,57076711
United Kingdom,GBR,1990,57247586
United Kingdom,GBR,1991,57424897
United Kingdom,GBR,1992,57580402
United Kingdom,GBR,1993,57718614
United Kingdom,GBR,1994,57865745
United Kingdom,GBR,1995,58019030
United Kingdom,GBR,1996,58166950
United Kingdom,GBR,1997,58316954
United Kingdom,GBR,1998,58487141
United Kingdom,GBR,1999,58682466
United Kingdom,GBR,2000,58892514
United Kingdom,GBR,2001,59119673
United Kingdom,GBR,2002,59370479
United Kingdom,GBR,2003,59647577
United Kingdom,GBR,2004,59987905
United Kingdom,GBR,2005,60401206
United Kingdom,GBR,2006,60846820
United Kingdom,GBR,2007,61322463
United Kingdom,GBR,2008,61806995
United Kingdom,GBR,2009,62276270
United Kingdom,GBR,2010,62766365
United Kingdom,GBR,2011,63258810
United Kingdom,GBR,2012,63711000
United Kingdom,GBR,2013,64138000
United Kingdom,GBR,2014,64619000
United Kingdom,GBR,2015,65087000
United Kingdom,GBR,2016,65606000
United Kingdom,GBR,2017,65964000
United Kingdom,GBR,2018,66287000
United Kingdom,GBR,2019,66628000
United Kingdom,GBR,2020,66740000
United Kingdom,GBR,2021,66978000
United Kingdom,GBR,2022,67636000
United Kingdom,GBR,2023,68526000
United Kingdom,GBR,2024,69281000
United Kingdom,GBR,2025,69487000
Indonesia,IDN,1960,88296070
Indonesia,IDN,1961,90791249
Indonesia,IDN,1962,93375850
Indonesia,IDN,1963,96051424
Indonesia,IDN,1964,98833749
Indonesia,IDN,1965,101365130
Indonesia,IDN,1966,103792754
Indonesia,IDN,1967,106526393
Indonesia,IDN,1968,109450006
Indonesia,IDN,1969,112517639
Indonesia,IDN,1970,115657495
Indonesia,IDN,1971,118833702
Indonesia,IDN,1972,122039841
Indonesia,IDN,1973,125288515
Indonesia,IDN,1974,128555045
Indonesia,IDN,1975,131843848
Indonesia,IDN,1976,135173655
Indonesia,IDN,1977,138533541
Indonesia,IDN,1978,141953163
Indonesia,IDN,1979,145434834
Indonesia,IDN,1980,148950540
Indonesia,IDN,1981,152485035
Indonesia,IDN,1982,156052152
Indonesia,IDN,1983,159651381
Indonesia,IDN,1984,163251124
Indonesia,IDN,1985,166776185
Indonesia,IDN,1986,170175065
Indonesia,IDN,1987,173511154
Indonesia,IDN,1988,176855065
Indonesia,IDN,1989,180201630
Indonesia,IDN,1990,183501098
Indonesia,IDN,1991,186778238
Indonesia,IDN,1992,190043744
Indonesia,IDN,1993,193305168
Indonesia,IDN,1994,196591828
Indonesia,IDN,1995,199888057
Indonesia,IDN,1996,203204348
Indonesia,IDN,1997,206536095
Indonesia,IDN,1998,209826788
Indonesia,IDN,1999,213004668
Indonesia,IDN,2000,216077790
Indonesia,IDN,2001,219097902
Indonesia,IDN,2002,222088495
Indonesia,IDN,2003,225048008
Indonesia,IDN,2004,227926649
Indonesia,IDN,2005,230871650
Indonesia,IDN,2006,233951652
Indonesia,IDN,2007,237062337
Indonesia,IDN,2008,240157903
Indonesia,IDN,2009,243220028
Indonesia,IDN,2010,246305322
Indonesia,IDN,2011,249470032
Indonesia,IDN,2012,252698525
Indonesia,IDN,2013,255852467
Indonesia,IDN,2014,258877399
Indonesia,IDN,2015,261799249
Indonesia,IDN,2016,264627418
Indonesia,IDN,2017,267346658
Indonesia,IDN,2018,269951846
Indonesia,IDN,2019,272489381
Indonesia,IDN,2020,274814866
Indonesia,IDN,2021,276758053
Indonesia,IDN,2022,278830529
Indonesia,IDN,2023,281190067
Indonesia,IDN,2024,283487931
Indonesia,IDN,2025,285721236
India,IND,1960,435990338
India,IND,1961,446564729
India,IND,1962,457283090
India,IND,1963,468138575
India,IND,1964,479229598
India,IND,1965,490140146
India,IND,1966,500740247
India,IND,1967,511606372
India,IND,1968,522716889
India,IND,1969,533880544
India,IND,1970,545864268
India,IND,1971,558096387
India,IND,1972,570482142
India,IND,1973,583465598
India,IND,1974,597041391
India,IND,1975,611309535
India,IND,1976,625861883
India,IND,1977,640801103
India,IND,1978,655728229
India,IND,1979,671155747
India,IND,1980,687354025
India,IND,1981,703696250
India,IND,1982,720313473
India,IND,1983,737372681
India,IND,1984,754875449
India,IND,1985,772647793
India,IND,1986,790689978
India,IND,1987,808931270
India,IND,1988,827342990
India,IND,1989,846039529
India,IND,1990,864972221
India,IND,1991,883927600
India,IND,1992,902957070
India,IND,1993,922118387
India,IND,1994,941163767
India,IND,1995,960301044
India,IND,1996,979678458
India,IND,1997,999133762
India,IND,1998,1018665080
India,IND,1999,1038225823
India,IND,2000,1057922733
India,IND,2001,1077898575
India,IND,2002,1097600380
India,IND,2003,1116803006
India,IND,2004,1135991513
India,IND,2005,1154676322
India,IND,2006,1172878890
India,IND,2007,1190676021
India,IND,2008,1207930964
India,IND,2009,1225524753
India,IND,2010,1243481564
India,IND,2011,1261224954
India,IND,2012,1278674502
India,IND,2013,1295829511
India,IND,2014,1312277191
India,IND,2015,1328024498
India,IND,2016,1343944296
India,IND,2017,1359657400
India,IND,2018,1374659064
India,IND,2019,1389030312
India,IND,2020,1402617695
India,IND,2021,1414203896
India,IND,2022,1425423212
India,IND,2023,1438069596
India,IND,2024,1450935791
India,IND,2025,1463865525
Italy,ITA,1960,50199700
Italy,ITA,1961,50536350
Italy,ITA,1962,50879450
Italy,ITA,1963,51252000
Italy,ITA,1964,51675350
Italy,ITA,1965,52112350
Italy,ITA,1966,52519000
Italy,ITA,1967,52900500
Italy,ITA,1968,53235750
Italy,ITA,1969,53537950
Italy,ITA,1970,53821850
Italy,ITA,1971,54073490
Italy,ITA,1972,54381345
Italy,ITA,1973,54751406
Italy,ITA,1974,55110868
Italy,ITA,1975,55441001
Italy,ITA,1976,55718260
Italy,ITA,1977,55955411
Italy,ITA,1978,56155143
Italy,ITA,1979,56317749
Italy,ITA,1980,56433883
Italy,ITA,1981,56501675
Italy,ITA,1982,56543548
Italy,ITA,1983,56564074
Italy,ITA,1984,56576718
Italy,ITA,1985,56593071
Italy,ITA,1986,56596155
Italy,ITA,1987,56601931
Italy,ITA,1988,56629288
Italy,ITA,1989,56671781
Italy,ITA,1990,56719240
Italy,ITA,1991,56758521
Italy,ITA,1992,56797087
Italy,ITA,1993,56831821
Italy,ITA,1994,56843400
Italy,ITA,1995,56844303
Italy,ITA,1996,56860281
Italy,ITA,1997,56890372
Italy,ITA,1998,56906744
Italy,ITA,1999,56916317
Italy,ITA,2000,56942108
Italy,ITA,2001,56976981
Italy,ITA,2002,57089824
Italy,ITA,2003,57399184
Italy,ITA,2004,57828179
Italy,ITA,2005,58166682
Italy,ITA,2006,58399861
Italy,ITA,2007,58756247
Italy,ITA,2008,59211181
Italy,ITA,2009,59555454
Italy,ITA,2010,59819407
Italy,ITA,2011,60026841
Italy,ITA,2012,60191247
Italy,ITA,2013,60311613
Italy,ITA,2014,60320707
Italy,ITA,2015,60229605
Italy,ITA,2016,60115223
Italy,ITA,2017,60002252
Italy,ITA,2018,59877221
Italy,ITA,2019,59729081
Italy,ITA,2020,59438851
Italy,ITA,2021,59133173
Italy,ITA,2022,59013667
Italy,ITA,2023,58984216
Italy,ITA,2024,58952704
Italy,ITA,2025,58915656
Japan,JPN,1960,93216000
Japan,JPN,1961,94055000
Japan,JPN,1962,94933000
Japan,JPN,1963,95900000
Japan,JPN,1964,96903000
Japan,JPN,1965,97952000
Japan,JPN,1966,98851000
Japan,JPN,1967,99879000
Japan,JPN,1968,101011000
Japan,JPN,1969,102219000
Japan,JPN,1970,103403000
Japan,JPN,1971,105697000
Japan,JPN,1972,107188000
Japan,JPN,1973,108707000
Japan,JPN,1974,110162000
Japan,JPN,1975,111573000
Japan,JPN,1976,112775000
Japan,JPN,1977,113872000
Japan,JPN,1978,114913000
Japan,JPN,1979,115890000
Japan,JPN,1980,116807000
Japan,JPN,1981,117661000
Japan,JPN,1982,118480000
Japan,JPN,1983,119307000
Japan,JPN,1984,120083000
Japan,JPN,1985,120837000
Japan,JPN,1986,121482000
Japan,JPN,1987,122069000
Japan,JPN,1988,122578000
Japan,JPN,1989,123069000
Japan,JPN,1990,123478000
Japan,JPN,1991,123964000
Japan,JPN,1992,124425000
Japan,JPN,1993,124829000
Japan,JPN,1994,125178000
Japan,JPN,1995,125472000
Japan,JPN,1996,125757000
Japan,JPN,1997,126057000
Japan,JPN,1998,126400000
Japan,JPN,1999,126631000
Japan,JPN,2000,126843000
Japan,JPN,2001,127149000
Japan,JPN,2002,127445000
Japan,JPN,2003,127718000
Japan,JPN,2004,127761000
Japan,JPN,2005,127773000
Japan,JPN,2006,127854000
Japan,JPN,2007,128001000
Japan,JPN,2008,128063000
Japan,JPN,2009,128047000
Japan,JPN,2010,128070000
Japan,JPN,2011,127833000
Japan,JPN,2012,127629000
Japan,JPN,2013,127445000
Japan,JPN,2014,127276000
Japan,JPN,2015,127141000
Japan,JPN,2016,127076000
Japan,JPN,2017,126972000
Japan,JPN,2018,126811000
Japan,JPN,2019,126633000
Japan,JPN,2020,126261000
Japan,JPN,2021,125681593
Japan,JPN,2022,125124989
Japan,JPN,2023,124516650
Japan,JPN,2024,123975371
Japan,JPN,2025,123366734
"Korea, Rep.",KOR,1960,25012374
"Korea, Rep.",KOR,1961,25765673
"Korea, Rep.",KOR,1962,26513030
"Korea, Rep.",KOR,1963,27261747
"Korea, Rep.",KOR,1964,27984155
"Korea, Rep.",KOR,1965,28704674
"Korea, Rep.",KOR,1966,29435571
"Korea, Rep.",KOR,1967,30130983
"Korea, Rep.",KOR,1968,30838302
"Korea, Rep.",KOR,1969,31544266
"Korea, Rep.",KOR,1970,32240827
"Korea, Rep.",KOR,1971,32882704
"Korea, Rep.",KOR,1972,33505406
"Korea, Rep.",KOR,1973,34103149
"Korea, Rep.",KOR,1974,34692266
"Korea, Rep.",KOR,1975,35280725
"Korea, Rep.",KOR,1976,35848523
"Korea, Rep.",KOR,1977,36411795
"Korea, Rep.",KOR,1978,36969185
"Korea, Rep.",KOR,1979,37534236
"Korea, Rep.",KOR,1980,38123775
"Korea, Rep.",KOR,1981,38723248
"Korea, Rep.",KOR,1982,39326352
"Korea, Rep.",KOR,1983,39910403
"Korea, Rep.",KOR,1984,40405956
"Korea, Rep.",KOR,1985,40805744
"Korea, Rep.",KOR,1986,41213674
"Korea, Rep.",KOR,1987,41621690
"Korea, Rep.",KOR,1988,42031247
"Korea, Rep.",KOR,1989,42449038
"Korea, Rep.",KOR,1990,42869283
"Korea, Rep.",KOR,1991,43295704
"Korea, Rep.",KOR,1992,43747962
"Korea, Rep.",KOR,1993,44194628
"Korea, Rep.",KOR,1994,44641540
"Korea, Rep.",KOR,1995,45092991
"Korea, Rep.",KOR,1996,45524681
"Korea, Rep.",KOR,1997,45953580
"Korea, Rep.",KOR,1998,46286503
"Korea, Rep.",KOR,1999,46616677
"Korea, Rep.",KOR,2000,47008111
"Korea, Rep.",KOR,2001,47370164
"Korea, Rep.",KOR,2002,47644736
"Korea, Rep.",KOR,2003,47892330
"Korea, Rep.",KOR,2004,48082519
"Korea, Rep.",KOR,2005,48184561
"Korea, Rep.",KOR,2006,48438292
"Korea, Rep.",KOR,2007,48683638
"Korea, Rep.",KOR,2008,49054708
